Wed Apr 21 23:13:03 2021    log.txt

         62433873 function calls (59490425 primitive calls) in 250.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.015    0.007    0.015    0.007 {built-in method time.sleep}
      100    0.001    0.000    0.014    0.000 {built-in method builtins.print}
     4432    0.008    0.000    0.014    0.000 genericpath.py:121(_splitext)
      338    0.002    0.000    0.014    0.000 iostream.py:197(schedule)
    57687    0.014    0.000    0.014    0.000 shape_base.py:78(_atleast_2d_dispatcher)
      200    0.001    0.000    0.013    0.000 iostream.py:386(write)
        1    0.000    0.000    0.011    0.011 rk.py:85(__init__)
      366    0.011    0.000    0.011    0.000 socket.py:432(send)
    10304    0.010    0.000    0.010    0.000 {built-in method builtins.max}
       20    0.001    0.000    0.009    0.000 session.py:660(send)
       16    0.000    0.000    0.009    0.001 iostream.py:337(flush)
       16    0.000    0.000    0.008    0.001 threading.py:540(wait)
      428    0.008    0.000    0.008    0.000 {method 'acquire' of '_thread.lock' objects}
       16    0.000    0.000    0.008    0.000 threading.py:270(wait)
    19231    0.008    0.000    0.008    0.000 linalg.py:2359(_norm_dispatcher)
       12    0.000    0.000    0.006    0.000 kernelbase.py:464(_publish_status)
       20    0.000    0.000    0.005    0.000 session.py:601(serialize)
        6    0.000    0.000    0.005    0.001 session.py:885(deserialize)
       18    0.000    0.000    0.005    0.000 zmqstream.py:313(flush)
    13296    0.004    0.000    0.004    0.000 {method 'rfind' of 'str' objects}
    48/12    0.000    0.000    0.004    0.000 jsonutil.py:59(extract_dates)
       80    0.000    0.000    0.003    0.000 session.py:81(<lambda>)
       36    0.000    0.000    0.003    0.000 jsonutil.py:44(parse_date)
        6    0.000    0.000    0.003    0.001 _parser.py:1276(parse)
        6    0.000    0.000    0.003    0.001 _parser.py:578(parse)
       80    0.000    0.000    0.003    0.000 jsonapi.py:31(dumps)
       99    0.001    0.000    0.003    0.000 wheel_controller.py:147(computeTorqueCorrection)
      200    0.000    0.000    0.003    0.000 iostream.py:323(_schedule_flush)
      354    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:365(source_from_cache)
       80    0.000    0.000    0.003    0.000 __init__.py:183(dumps)
        6    0.000    0.000    0.003    0.000 _parser.py:672(_parse)
        4    0.000    0.000    0.003    0.001 kernelbase.py:701(is_complete_request)
        4    0.000    0.000    0.003    0.001 interactiveshell.py:3184(transform_cell)
        1    0.000    0.000    0.002    0.002 common.py:64(select_initial_step)
        6    0.000    0.000    0.002    0.000 eventloops.py:30(process_stream_events)
       80    0.000    0.000    0.002    0.000 encoder.py:182(encode)
        4    0.000    0.000    0.002    0.001 interactiveshell.py:2949(should_run_async)
        6    0.000    0.000    0.002    0.000 inputtransformer2.py:576(do_token_transforms)
        6    0.000    0.000    0.002    0.000 inputtransformer2.py:544(do_one_token_transform)
        8    0.000    0.000    0.002    0.000 inputtransformer2.py:468(make_tokens_by_line)
       54    0.000    0.000    0.002    0.000 traitlets.py:595(__set__)
      354    0.001    0.000    0.002    0.000 threading.py:1071(is_alive)
       26    0.000    0.000    0.002    0.000 session.py:586(sign)
       54    0.000    0.000    0.002    0.000 traitlets.py:577(set)
      708    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        2    0.000    0.000    0.002    0.001 ipkernel.py:459(do_is_complete)
       76    0.001    0.000    0.002    0.000 tokenize.py:429(_tokenize)
        4    0.000    0.000    0.002    0.000 inputtransformer2.py:585(transform_cell)
       80    0.001    0.000    0.002    0.000 encoder.py:204(iterencode)
        6    0.000    0.000    0.002    0.000 ipkernel.py:143(set_parent)
        2    0.000    0.000    0.002    0.001 inputtransformer2.py:596(check_complete)
      715    0.001    0.000    0.002    0.000 traitlets.py:564(__get__)
       16    0.000    0.000    0.001    0.000 iostream.py:262(send_multipart)
